                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1738,                 1.3735,                 1.4429,                0.15884,                0.72701,                0.14008,                0.06776,                 1.8449,                 59.234,                 10.011,                0.06766,             0.00032667,             0.00032667
                      2,                 1.2017,                  0.902,                 1.3893,                 0.5072,                0.50575,                0.37341,                0.21954,                 1.3832,                 7.2422,                 3.1315,               0.034659,             0.00065869,             0.00065869
                      3,                 1.1826,                0.81722,                  1.363,                0.19403,                0.48563,                0.11825,                0.05163,                 2.3404,                 42.698,                 4.6055,              0.0016561,              0.0009894,              0.0009894
                      4,                 1.1532,                0.77762,                 1.3477,                0.65035,                0.72989,                0.74638,                0.48304,                 1.2594,                 2.0054,                 1.8216,             0.00099406,             0.00099406,             0.00099406
                      5,                 1.1141,                0.73819,                 1.3241,                0.79011,                0.85456,                0.90164,                0.61293,                 1.1149,                 1.3948,                  1.576,             0.00099406,             0.00099406,             0.00099406
                      6,                 1.1362,                0.68569,                  1.317,                0.89413,                0.95115,                 0.9537,                0.60996,                 1.1914,                0.75586,                 1.5669,             0.00099208,             0.00099208,             0.00099208
                      7,                 1.1071,                0.65471,                 1.3026,                0.84762,                0.95906,                0.93388,                 0.6218,                 1.1938,                0.77552,                 1.5465,              0.0009901,              0.0009901,              0.0009901
                      8,                  1.061,                 0.6412,                 1.2737,                 0.9292,                0.96839,                0.97314,                0.64289,                 1.0284,                0.71466,                 1.3688,             0.00098812,             0.00098812,             0.00098812
                      9,                 1.0616,                0.61524,                 1.2761,                0.86482,                0.99425,                 0.9499,                0.68837,                 1.0353,                0.61751,                 1.3552,             0.00098614,             0.00098614,             0.00098614
                     10,                 1.0221,                0.57841,                 1.2474,                0.98098,                0.99425,                0.99185,                0.70022,                 1.0182,                0.52185,                 1.3431,             0.00098416,             0.00098416,             0.00098416
                     11,                 1.0562,                0.58623,                 1.2666,                0.96105,                0.99253,                0.99179,                0.71195,                 1.0331,                0.50433,                 1.3509,             0.00098218,             0.00098218,             0.00098218
                     12,                 1.0381,                0.58495,                 1.2774,                0.95783,                0.98851,                0.99081,                0.69261,                 1.0816,                0.54128,                 1.4202,              0.0009802,              0.0009802,              0.0009802
                     13,                 1.0164,                0.54282,                 1.2493,                0.95559,                0.98922,                0.98469,                0.70915,                 1.0448,                0.48586,                 1.3557,             0.00097822,             0.00097822,             0.00097822
