                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1203,                 1.5946,                 1.4702,                0.63528,                0.49551,                0.58744,                0.34179,                 1.5209,                 2.2172,                 1.8464,               0.076024,                2.4e-05,                2.4e-05
                      2,                0.96551,                0.48909,                 1.2691,                0.84847,                0.91714,                0.92826,                0.66295,                 1.0759,                0.63969,                 1.3595,               0.051049,             4.8903e-05,             4.8903e-05
                      3,                0.94651,                0.46803,                 1.2485,                0.99675,                      1,                0.99448,                0.75788,                0.92284,                0.37921,                  1.275,               0.026074,             7.3707e-05,             7.3707e-05
                      4,                0.95172,                0.47209,                 1.2225,                0.97715,                0.98563,                0.99164,                0.72249,                0.98919,                0.49418,                 1.3459,              0.0010984,             9.8412e-05,             9.8412e-05
                      5,                0.93001,                 0.4704,                 1.2369,                0.99339,                      1,                0.99448,                0.75876,                0.91323,                0.43606,                 1.2653,             9.9208e-05,             9.9208e-05,             9.9208e-05
                      6,                0.94252,                0.47436,                 1.2315,                0.96307,                      1,                0.98974,                0.72584,                0.98088,                0.54551,                 1.3175,             9.9208e-05,             9.9208e-05,             9.9208e-05
                      7,                0.92854,                0.47866,                 1.2435,                0.98265,                0.99713,                 0.9914,                0.73931,                0.92657,                0.44124,                 1.2449,              9.901e-05,              9.901e-05,              9.901e-05
                      8,                0.89687,                0.45033,                 1.2044,                0.98862,                0.99831,                0.99057,                0.76939,                0.90294,                0.37012,                 1.2162,             9.8812e-05,             9.8812e-05,             9.8812e-05
                      9,                0.92282,                0.44333,                 1.2056,                0.85124,                0.99425,                0.95227,                0.70658,                0.95482,                0.55088,                 1.2517,             9.8614e-05,             9.8614e-05,             9.8614e-05
                     10,                0.89753,                0.43556,                 1.2042,                0.98289,                0.99053,                0.99301,                0.76477,                0.90302,                0.37637,                 1.1992,             9.8416e-05,             9.8416e-05,             9.8416e-05
