                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0904,                 2.3246,                 1.2938,                      1,                0.09954,                0.87062,                0.54539,                0.98948,                 2.7175,                 1.2673,                0.00048,                0.00048,                0.00048
                      2,                 1.0473,                 1.3899,                 1.2454,                 0.6747,                0.56024,                0.56912,                0.33757,                 1.1514,                 2.4641,                 1.5417,              0.0009703,              0.0009703,              0.0009703
                      3,                 1.0871,                 1.1833,                 1.2768,                0.41365,                0.53448,                0.40215,                0.20048,                 1.8743,                 2.1673,                 2.1243,              0.0014507,              0.0014507,              0.0014507
                      4,                 1.1151,                 1.0327,                 1.2759,                0.48604,                0.43678,                0.40654,                0.20108,                 1.7272,                 2.0806,                 2.1776,              0.0019212,              0.0019212,              0.0019212
                      5,                 1.1159,                0.88291,                 1.2926,                0.81115,                0.74055,                0.83591,                 0.4565,                  1.309,                  2.049,                 1.6933,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.0879,                0.78857,                 1.2703,                 0.8421,                0.91092,                0.94423,                0.60143,                 1.1691,                 2.1466,                  1.745,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.0831,                0.71702,                 1.2709,                0.90013,                0.90647,                0.95388,                0.59748,                 1.1423,                 1.3752,                 1.5037,               0.001901,               0.001901,               0.001901
                      8,                 1.0287,                0.65573,                 1.2391,                0.82233,                0.88793,                 0.9428,                 0.6479,                 1.0102,                  1.396,                 1.3331,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.0361,                0.62461,                  1.227,                0.89922,                0.94862,                0.96901,                0.61034,                 1.1306,                0.79948,                 1.3779,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.0155,                0.61376,                 1.2249,                 0.9011,                0.99425,                0.97857,                0.71654,                0.94251,                 0.7945,                 1.2534,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.0174,                0.60178,                 1.2153,                0.91896,                0.97755,                0.97272,                0.68093,                 1.0142,                 0.6405,                 1.2404,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.0093,                0.57881,                 1.2159,                0.91711,                 0.8908,                0.95527,                 0.5813,                  1.283,                0.79402,                 1.5421,               0.001802,               0.001802,               0.001802
                     13,                0.99561,                0.56897,                 1.2139,                0.76308,                0.70341,                0.80892,                0.44713,                 1.3811,                 1.2919,                 1.4775,              0.0017822,              0.0017822,              0.0017822
                     14,                0.97867,                 0.5494,                  1.201,                 0.9796,                      1,                0.99454,                0.72235,                0.93897,                0.52745,                 1.1998,              0.0017624,              0.0017624,              0.0017624
                     15,                0.98504,                0.54947,                  1.202,                0.95274,                0.99425,                0.98873,                0.70791,                0.99016,                0.54432,                 1.2266,              0.0017426,              0.0017426,              0.0017426
                     16,                0.94831,                0.53207,                 1.1944,                0.93515,                 0.9569,                0.96225,                0.65336,                 1.0894,                0.63859,                 1.3357,              0.0017228,              0.0017228,              0.0017228
                     17,                0.95765,                0.52517,                 1.1868,                0.98268,                0.99138,                0.99289,                0.72795,                 0.9867,                 0.5216,                 1.2442,               0.001703,               0.001703,               0.001703
                     18,                0.97189,                0.52636,                 1.1934,                 0.9925,                      1,                0.99434,                0.74114,                0.92765,                0.44548,                 1.2048,              0.0016832,              0.0016832,              0.0016832
                     19,                0.95285,                0.51079,                 1.1885,                 0.9886,                0.99679,                0.99337,                0.72015,                0.93971,                0.47961,                 1.1982,              0.0016634,              0.0016634,              0.0016634
                     20,                0.93147,                0.49403,                 1.1863,                0.98695,                0.99713,                0.99409,                0.72672,                0.96977,                0.45666,                 1.2476,              0.0016436,              0.0016436,              0.0016436
                     21,                0.96794,                0.51868,                 1.1891,                0.98439,                0.99425,                0.99386,                0.73963,                0.93403,                0.48748,                 1.1991,              0.0016238,              0.0016238,              0.0016238
                     22,                 0.9297,                0.49041,                 1.1686,                0.99657,                      1,                0.99426,                0.75346,                0.91541,                0.43103,                 1.2032,               0.001604,               0.001604,               0.001604
                     23,                0.90979,                0.47932,                 1.1716,                0.96889,                      1,                0.99071,                0.72243,                0.99816,                 0.4777,                 1.2789,              0.0015842,              0.0015842,              0.0015842
                     24,                0.90331,                0.48381,                  1.172,                0.96266,                0.98851,                 0.9911,                0.72111,                0.99708,                0.46629,                 1.2241,              0.0015644,              0.0015644,              0.0015644
                     25,                0.90753,                0.47773,                  1.174,                0.99141,                0.99499,                0.99339,                0.72912,                0.96416,                 0.4584,                 1.2264,              0.0015446,              0.0015446,              0.0015446
                     26,                0.92555,                0.48021,                 1.1768,                0.99666,                      1,                 0.9948,                 0.7618,                0.94889,                0.42204,                 1.2074,              0.0015248,              0.0015248,              0.0015248
                     27,                0.93827,                  0.483,                 1.1784,                0.99319,                      1,                0.99445,                0.74606,                0.89375,                0.42981,                 1.1839,               0.001505,               0.001505,               0.001505
                     28,                0.90259,                0.46731,                 1.1589,                 0.9927,                      1,                 0.9937,                0.74713,                0.91066,                0.43173,                 1.1972,              0.0014852,              0.0014852,              0.0014852
                     29,                0.91438,                0.47189,                 1.1596,                0.99662,                      1,                0.99477,                0.75398,                0.91227,                0.39448,                 1.1779,              0.0014654,              0.0014654,              0.0014654
                     30,                 0.9008,                0.46283,                 1.1513,                0.99702,                      1,                0.99434,                0.76298,                0.91724,                0.40801,                 1.1818,              0.0014456,              0.0014456,              0.0014456
                     31,                0.88669,                0.44548,                 1.1491,                0.98548,                      1,                0.99373,                0.76693,                 0.8927,                0.39205,                 1.1441,              0.0014258,              0.0014258,              0.0014258
                     32,                0.88678,                0.45672,                 1.1454,                 0.9927,                0.99713,                0.99471,                0.75978,                0.89976,                0.40333,                 1.1671,               0.001406,               0.001406,               0.001406
                     33,                0.87101,                0.44848,                 1.1337,                0.96284,                      1,                0.98613,                0.74766,                0.89369,                0.42132,                 1.1726,              0.0013862,              0.0013862,              0.0013862
                     34,                 0.8768,                 0.4495,                 1.1381,                0.99428,                      1,                 0.9941,                 0.7618,                 0.8925,                0.39979,                  1.158,              0.0013664,              0.0013664,              0.0013664
                     35,                0.89196,                0.44618,                 1.1442,                 0.9919,                      1,                0.99273,                0.76666,                 0.9059,                 0.4111,                 1.1717,              0.0013466,              0.0013466,              0.0013466
                     36,                0.89056,                   0.45,                 1.1605,                0.99181,                      1,                0.99477,                 0.7562,                0.91761,                0.41124,                 1.2096,              0.0013268,              0.0013268,              0.0013268
                     37,                 0.8599,                 0.4411,                  1.134,                0.83508,                0.97126,                0.91635,                0.70415,                 0.9078,                0.53823,                  1.188,               0.001307,               0.001307,               0.001307
                     38,                0.88363,                0.44152,                 1.1406,                0.98542,                0.99713,                0.99423,                0.77966,                0.88172,                0.38288,                 1.1611,              0.0012872,              0.0012872,              0.0012872
                     39,                0.86214,                0.43237,                 1.1274,                0.99676,                      1,                0.99483,                0.75779,                0.91741,                0.37735,                  1.194,              0.0012674,              0.0012674,              0.0012674
